iter	Logloss
121	0.4415117176
122	0.4413507738
123	0.4412240643
124	0.4411101925
125	0.4410058512
126	0.4409103177
127	0.4407931132
128	0.4406606352
129	0.4405296703
130	0.4404536916
131	0.4403900444
132	0.4403137587
133	0.440212064
134	0.440073772
135	0.4399207562
136	0.4397956053
137	0.439673499
138	0.4395978164
139	0.4395273929
140	0.4394522932
141	0.4393382
142	0.4392169509
143	0.4391456417
144	0.4390660224
145	0.4389502284
146	0.4388313746
147	0.4387533593
148	0.4386481526
149	0.4385702986
150	0.4384688243
151	0.4383601335
152	0.4382513686
153	0.4381596736
154	0.4380741333
155	0.4379229061
156	0.4378228985
157	0.4377494998
158	0.4376986295
159	0.4376452039
160	0.4375259229
161	0.4374708171
162	0.437406731
163	0.4373165975
164	0.4371855891
165	0.4370894134
166	0.4369767546
167	0.4368730821
168	0.4368179354
169	0.436763802
170	0.4366304929
171	0.4365263909
172	0.4364538264
173	0.4363965162
174	0.4363402735
175	0.4362677392
176	0.4362057077
177	0.4361028805
178	0.4360271111
179	0.4359096307
180	0.4358211663
181	0.4357499153
182	0.4356528293
183	0.4355607492
184	0.4354847745
185	0.4353811558
186	0.4352726735
187	0.4351248982
188	0.4350610223
189	0.4349907503
190	0.4348955655
191	0.4348402623
192	0.4347748096
193	0.434695813
194	0.4346180991
195	0.4345760846
196	0.4344834836
197	0.4344420438
198	0.4343602441
199	0.434304174
200	0.4342246238
201	0.4341717218
202	0.4340929434
203	0.4340449996
204	0.4339625906
205	0.4338917952
206	0.4337978797
207	0.4337173751
208	0.4336223812
209	0.4335696024
210	0.433511048
211	0.4334496479
212	0.4333668614
213	0.4332596008
214	0.4332103921
215	0.4331230802
216	0.4330251484
217	0.4329171193
218	0.4328598228
219	0.4327943964
220	0.43272957
221	0.4326717475
222	0.4326422967
223	0.4325587275
224	0.4324809084
225	0.4324571497
226	0.4323748964
227	0.432331897
228	0.4322847052
229	0.432213015
230	0.4321397177
231	0.4320568346
232	0.4319991312
233	0.4319085695
234	0.4318344105
235	0.4317439035
236	0.4316364918
237	0.4315705868
238	0.4315262687
239	0.4314770129
240	0.4314246908
241	0.4313436133
242	0.4313074232
243	0.4312069677
244	0.4311607205
245	0.4311349453
246	0.4310591283
247	0.4310049748
248	0.4309355916
249	0.4308724075
250	0.4307970802
251	0.4307397918
252	0.4307170388
253	0.4306619905
254	0.4305752922
255	0.4305545849
256	0.4305152294
257	0.4304548394
258	0.4303903888
259	0.430360614
260	0.4303018856
261	0.4301958204
262	0.4301378834
263	0.4300456058
264	0.4300117217
265	0.429943103
266	0.4298735118
267	0.4298333721
268	0.4297504985
269	0.4297091076
270	0.4296638317
271	0.4295988878
272	0.4295604745
273	0.4294977826
274	0.4293958308
275	0.4293290269
276	0.4292985933
277	0.4291980575
278	0.4291430874
279	0.4291025116
280	0.4290806445
281	0.4290196144
282	0.428929777
283	0.4288989527
284	0.4288236164
285	0.4287387255
286	0.4286542476
287	0.4285850269
288	0.4285556755
289	0.4285046584
290	0.428450697
291	0.4283997225
292	0.4283340891
293	0.4282910151
294	0.4282151803
295	0.4281320468
296	0.4280619474
297	0.4280173253
298	0.4279724776
299	0.4278968775
300	0.427858651
301	0.4277884014
302	0.4277426936
303	0.427688439
304	0.4276316379
305	0.4275343631
306	0.42745967
307	0.4274169516
308	0.4273614875
309	0.4273152949
310	0.4272767461
311	0.4272343362
312	0.4271931282
313	0.4271356841
314	0.4271036942
315	0.4270178228
316	0.4269782771
317	0.4269311677
318	0.4268589716
319	0.4268107484
320	0.4267676247
321	0.4267098753
322	0.4266189356
323	0.4265716343
324	0.4264985128
325	0.4264676017
326	0.426362502
327	0.4262785798
328	0.4261799004
329	0.4261003321
330	0.426034093
331	0.4259676761
332	0.4258801479
333	0.4258344707
334	0.4257554523
335	0.4256750506
336	0.4256280471
337	0.4255681712
338	0.42548027
339	0.4253864392
340	0.4253079308
341	0.4252422974
342	0.4251594676
343	0.4251177383
344	0.4250917572
345	0.425046912
346	0.4250027413
347	0.4249357476
348	0.4248763417
349	0.424811315
350	0.4247161493
351	0.424687425
352	0.4246516055
353	0.4245844181
354	0.4245147942
355	0.4244521357
356	0.4243382707
357	0.4242959774
358	0.424223394
359	0.4241634141
360	0.4240981548
361	0.4240399842
362	0.423946933
363	0.4238756348
364	0.4238584494
365	0.4237971802
366	0.4237063126
367	0.4236485143
368	0.4235953408
369	0.4235173407
370	0.4234334155
371	0.4233687016
372	0.4232916247
373	0.4231858469
374	0.4231404919
375	0.4230314213
376	0.4229870745
377	0.4229229434
378	0.4228639781
379	0.4228043737
380	0.4227633261
381	0.4226846139
382	0.4226422878
383	0.4225686671
384	0.4225007096
385	0.4223880461
386	0.422347797
387	0.4223262546
388	0.4222832562
389	0.4222091351
390	0.4221326699
391	0.4221001299
392	0.4220213432
393	0.4219848694
394	0.4219621498
395	0.4218694411
396	0.4218289845
397	0.4217494102
398	0.4217071097
399	0.4216721426
400	0.4215858978
401	0.4214866806
402	0.4214041566
403	0.421347234
404	0.4213100745
405	0.4212436801
406	0.4211561171
407	0.4211031921
408	0.421044696
409	0.4210180433
410	0.4209567807
411	0.4208560327
412	0.4207485123
413	0.4206812979
414	0.4206139712
415	0.4205788539
416	0.4204969524
417	0.4204481127
418	0.4203935925
419	0.4203023477
420	0.4202022054
421	0.4201327063
422	0.4200924355
423	0.4200088018
424	0.4199343229
425	0.4199068481
426	0.4198320033
427	0.4197899737
428	0.4196827753
429	0.4196463856
430	0.4195932039
431	0.4195461193
432	0.4194791644
433	0.4194155343
434	0.4193136027
435	0.4192750987
436	0.4191918729
437	0.4191660005
438	0.4191141877
439	0.4190510305
440	0.4190265932
441	0.4189874303
442	0.4189696338
443	0.418932777
444	0.4189031716
445	0.4188528979
446	0.4188021356
447	0.4187094855
448	0.4186474712
449	0.4185406393
450	0.4185020452
451	0.4184736859
452	0.4184513801
453	0.4183988452
454	0.4183489347
455	0.4183026102
456	0.4182720729
457	0.4182082508
458	0.4181154036
459	0.4180587494
460	0.4180218909
461	0.4179875826
462	0.4178966873
463	0.4178639721
464	0.4178271369
465	0.4177448809
466	0.4177228497
467	0.4176784488
468	0.4175795049
469	0.4175197707
470	0.4174693754
471	0.4174245152
472	0.4173975086
473	0.41732336
474	0.4172262074
475	0.4171643551
476	0.4171098717
477	0.4170415707
478	0.4170097537
479	0.4169419956
480	0.416897305
481	0.4168494119
482	0.4168015598
483	0.4167080702
484	0.4166470427
485	0.416612238
486	0.4165789695
487	0.4164682852
488	0.4164380421
489	0.4164100339
490	0.4163632244
491	0.4163064282
492	0.4162052715
493	0.4161067606
494	0.4160627895
495	0.4159850935
496	0.4159415487
497	0.4159003502
498	0.4158649621
499	0.415786738
500	0.415749372
501	0.4156625821
502	0.4155754024
503	0.4155127303
504	0.4154618515
505	0.415407578
506	0.4153416224
507	0.4153064383
508	0.415227748
509	0.4152137191
510	0.4150976169
511	0.4150645744
512	0.4150020425
513	0.4149505661
514	0.4148450306
515	0.4148110574
516	0.4147957717
517	0.4147683783
518	0.4147278067
519	0.4146736754
520	0.4146324341
521	0.4145684813
522	0.4144789478
523	0.4144510183
524	0.4143725877
525	0.4143386183
526	0.4142867719
527	0.4142626721
528	0.4141967685
529	0.4141607457
530	0.4140826964
531	0.4140380469
532	0.4140089247
533	0.4139722357
534	0.4139293487
535	0.4138888869
536	0.4138021822
537	0.4137550749
538	0.4136902249
539	0.4136471789
540	0.4135985828
541	0.4135326087
542	0.4134931609
543	0.4134330092
544	0.4133453242
545	0.4132961128
546	0.4132204862
547	0.4131410851
548	0.4131081864
549	0.413020659
550	0.4129174992
551	0.4128621694
552	0.4127638138
553	0.4127212154
554	0.4126856557
555	0.4126180364
556	0.4125825047
557	0.4125512051
558	0.4125051262
559	0.4125037911
560	0.4124521018
561	0.4124165843
562	0.4123606243
563	0.4122973718
564	0.4122635343
565	0.4122465706
566	0.4122077846
567	0.4121773333
568	0.4121761516
569	0.4121266245
570	0.4121023036
571	0.4120429298
572	0.4119886586
573	0.4119159621
574	0.4118889868
575	0.4118641976
576	0.4118242479
577	0.4118017545
578	0.4117874378
579	0.4117148551
580	0.4116862356
581	0.4116302196
582	0.411587325
583	0.4115400779
